""
Date,Running,Cycling,Swimming
2021-01-01,4,2,1
2021-01-02,5,3,1
2021-01-03,6,4,1
2021-01-04,7,4,2
2021-01-05,8,5,2
2021-01-06,8,6,2
2021-01-07,7,6,3
2021-01-08,8,8,3
2021-01-09,9,8,3
2021-01-10,10,9,4
2021-01-11,10,7,4
2021-01-12,11,8,4
2021-01-13,12,9,4
2021-01-14,11,10,5
2021-01-15,12,10,5
2021-01-16,13,11,6
2021-01-17,14,11,6
2021-01-18,13,12,7
2021-01-19,14,12,7
2021-01-20,15,13,7
2021-01-21,15,13,8
2021-01-22,16,14,8
2021-01-23,17,14,8
2021-01-24,16,15,9
2021-01-25,17,15,9
2021-01-26,18,16,10
2021-01-27,18,16,10
2021-01-28,17,17,11
2021-01-29,19,17,11
2021-01-30,20,18,12
""
