""
Year,Coal,Natural Gas,Renewables,Nuclear,Oil
2000,2568,1234,578,943,1100
2001,2610,1287,599,965,1150
2002,2675,1341,615,986,1200
2003,2730,1395,628,1012,1250
2004,2812,1465,657,1039,1310
2005,2900,1540,689,1067,1380
2006,3050,1605,723,1092,1450
2007,3180,1675,758,1118,1530
2008,3230,1730,796,1145,1600
2009,3150,1640,820,1160,1550
2010,3080,1585,850,1180,1500
2011,2990,1525,895,1205,1445
2012,2900,1475,946,1230,1390
2013,2800,1430,1000,1258,1340
2014,2700,1389,1058,1285,1295
2015,2600,1340,1121,1310,1250
2016,2500,1300,1189,1332,1210
2017,2420,1265,1260,1355,1175
2018,2345,1234,1332,1380,1140
2019,2275,1205,1407,1405,1110
2020,2210,1189,1489,1432,1085
""
