""
Date,Education,Entertainment,Travel
2021-01,1200,1042,982
2021-02,1367,1132,1023
2021-03,1523,1276,1155
2021-04,1660,1348,1210
2021-05,1825,1488,1320
2021-06,1972,1552,1424
2021-07,2106,1673,1538
2021-08,2254,1728,1664
2021-09,2387,1901,1782
2021-10,2518,2026,1867
2021-11,2657,2130,1945
2021-12,2790,2210,2023
2022-01,2921,2355,2130
2022-02,3048,2501,2214
2022-03,3182,2627,2340
2022-04,3301,2715,2445
2022-05,3450,2820,2569
2022-06,3552,2967,2680
2022-07,3685,3071,2776
2022-08,3802,3127,2864
2022-09,3926,3248,2967
2022-10,4082,3361,3053
2022-11,4195,3480,3121
2022-12,4307,3602,3246
""
