""
date,Organic Search,Email,Referral,Social Media
2021-01-01,1200,800,300,200
2021-01-02,1100,900,350,250
2021-01-03,1300,850,400,300
2021-01-04,1400,900,420,310
2021-01-05,1500,950,450,320
2021-01-06,1550,900,430,330
2021-01-07,1600,880,420,340
2021-01-08,1650,870,410,350
2021-01-09,1700,860,420,360
2021-01-10,1750,850,440,370
2021-01-11,1800,840,450,380
2021-01-12,1850,830,430,390
2021-01-13,1900,820,420,400
2021-01-14,1950,810,410,410
2021-01-15,2000,800,400,420
2021-01-16,2050,790,390,430
2021-01-17,2100,780,380,440
2021-01-18,2150,770,370,450
2021-01-19,2200,760,360,460
2021-01-20,2250,750,350,470
2021-01-21,2300,740,340,480
2021-01-22,2350,730,330,490
2021-01-23,2400,720,320,500
2021-01-24,2450,710,310,510
2021-01-25,2500,700,300,520
""
