""
Date,Mobile,Desktop,Laptop,Tablets
2021-01-01,120,300,260,200
2021-01-02,110,320,245,210
2021-01-03,130,310,265,220
2021-01-04,140,330,270,230
2021-01-05,150,340,275,240
2021-01-06,160,350,280,245
2021-01-07,170,360,285,255
2021-01-08,180,370,290,260
2021-01-09,190,380,295,270
2021-01-10,200,390,300,275
2021-01-11,210,400,305,280
2021-01-12,220,410,310,285
2021-01-13,230,420,320,290
2021-01-14,240,430,330,295
2021-01-15,250,440,340,300
2021-01-16,260,450,345,305
2021-01-17,270,460,350,310
2021-01-18,280,470,355,315
2021-01-19,290,480,365,320
2021-01-20,300,490,370,325
""
