""
Date,Indoor Activities,Outdoor Adventures,Family Time,Personal Development
2021-01-01,400,200,150,100
2021-01-02,410,220,160,120
2021-01-03,430,210,170,130
2021-01-04,450,230,180,140
2021-01-05,420,240,190,150
2021-01-06,415,235,185,155
2021-01-07,405,225,175,165
2021-01-08,385,200,165,175
2021-01-09,375,195,160,185
2021-01-10,390,210,170,190
2021-01-11,410,220,180,200
2021-01-12,420,215,185,205
2021-01-13,430,225,190,215
2021-01-14,440,235,195,220
2021-01-15,450,245,200,225
2021-01-16,455,255,205,230
2021-01-17,465,260,210,235
2021-01-18,470,250,215,240
2021-01-19,475,240,220,245
2021-01-20,480,245,225,250
""
