""
date,Education,Entertainment,Healthcare
2020-01,1500,1200,800
2020-02,1600,1300,850
2020-03,1650,1350,900
2020-04,1700,1450,950
2020-05,1750,1500,1000
2020-06,1800,1600,1100
2020-07,1850,1650,1150
2020-08,1900,1700,1200
2020-09,1950,1750,1250
2020-10,2000,1800,1300
2020-11,2100,1850,1350
2020-12,2200,1900,1400
2021-01,2250,2000,1450
2021-02,2300,2100,1500
2021-03,2350,2200,1550
2021-04,2400,2300,1600
2021-05,2450,2400,1650
2021-06,2500,2500,1700
2021-07,2550,2600,1750
2021-08,2600,2700,1800
2021-09,2650,2800,1850
2021-10,2700,2900,1900
2021-11,2800,3000,1950
2021-12,2900,3100,2000
""
