""
Date,Apple,Google,Microsoft,Amazon
Q1-2019,58021,36148,30571,59700
Q2-2019,53809,38604,33171,63404
Q3-2019,64040,40540,33006,69981
Q4-2019,91819,46101,36906,87437
Q1-2020,58313,41159,35021,75452
Q2-2020,59685,38237,38307,88912
Q3-2020,64698,46150,37154,96145
Q4-2020,111439,56089,43076,125555
Q1-2021,89584,55314,41706,108518
Q2-2021,81434,61897,46152,113080
Q3-2021,83360,65118,45317,110812
Q4-2021,123946,75932,51732,137416
Q1-2022,97278,68234,49725,116444
Q2-2022,83370,69112,46908,121334
Q3-2022,90730,65201,51310,110780
Q4-2022,148166,84121,56100,140541
""
