""
Date,Organic Traffic,Paid Traffic,Referral Traffic,Social Traffic
2021-01-01,1200,800,300,200
2021-01-02,1230,810,305,205
2021-01-03,1270,815,310,210
2021-01-04,1250,835,320,220
2021-01-05,1290,850,330,230
2021-01-06,1340,860,340,240
2021-01-07,1380,870,350,245
2021-01-08,1420,880,360,250
2021-01-09,1470,890,370,260
2021-01-10,1500,900,380,270
2021-01-11,1540,910,390,280
2021-01-12,1580,920,400,290
2021-01-13,1620,930,410,300
2021-01-14,1670,940,420,310
2021-01-15,1710,950,430,320
2021-01-16,1760,960,440,330
2021-01-17,1800,970,450,340
2021-01-18,1830,980,460,350
2021-01-19,1870,985,465,355
2021-01-20,1900,995,470,365
2021-01-21,1930,1005,475,370
2021-01-22,1950,1010,480,375
2021-01-23,1990,1020,485,380
2021-01-24,2000,1030,490,390
2021-01-25,2020,1040,495,395
2021-01-26,2050,1050,500,400
2021-01-27,2060,1060,510,410
2021-01-28,2090,1070,520,420
2021-01-29,2120,1075,530,430
2021-01-30,2150,1080,540,440
2021-01-31,2180,1090,550,450
""
