""
Date,Health Care,Technology,Consumer Goods
2021-01,400,320,600
2021-02,430,340,640
2021-03,480,360,680
2021-04,450,380,720
2021-05,410,420,760
2021-06,455,450,770
2021-07,490,480,780
2021-08,520,500,790
2021-09,580,520,800
2021-10,600,540,810
2021-11,630,550,820
2021-12,680,560,830
2022-01,710,570,840
2022-02,720,580,850
2022-03,730,590,860
2022-04,740,600,870
2022-05,750,610,880
2022-06,760,620,890
2022-07,770,630,900
2022-08,780,640,910
2022-09,790,650,920
2022-10,800,660,930
2022-11,810,670,940
2022-12,820,680,950
""
