""
date,Smart Homes,Electric Vehicles,Renewable Energy,AI Advancements
2021-01,120,150,130,100
2021-02,125,165,140,110
2021-03,135,160,150,115
2021-04,145,170,160,120
2021-05,140,175,155,125
2021-06,150,180,165,130
2021-07,160,185,175,135
2021-08,155,190,170,140
2021-09,165,195,180,145
2021-10,170,200,185,150
2021-11,175,205,190,155
2021-12,180,210,195,160
2022-01,185,220,200,165
2022-02,180,225,210,170
2022-03,190,215,205,175
2022-04,195,230,215,180
2022-05,200,235,220,185
2022-06,205,240,225,190
2022-07,210,245,230,195
2022-08,215,250,235,200
2022-09,220,240,240,205
2022-10,225,235,245,210
2022-11,230,230,250,215
2022-12,235,225,255,220
""
