""
Quarter,Technology,Healthcare,Consumer Goods,Energy
Q1-2019,120000,95000,75000,40000
Q2-2019,130000,100000,77000,43000
Q3-2019,135000,105000,80000,46000
Q4-2019,140000,110000,83000,49000
Q1-2020,145000,115000,85000,50000
Q2-2020,150000,118000,87000,56000
Q3-2020,155000,120000,89000,61000
Q4-2020,160000,125000,91000,65000
Q1-2021,165000,130000,93000,67000
Q2-2021,170000,135000,95000,69000
Q3-2021,175000,137000,96000,71000
Q4-2021,180000,140000,97000,73000
Q1-2022,185000,142000,98000,75000
Q2-2022,190000,145000,99000,77000
Q3-2022,195000,148000,100000,79000
Q4-2022,200000,150000,102000,81000
""
