""
Date,Electric Cars,Hybrid Cars,Gasoline Cars
2021-01,3500,6800,23700
2021-02,3700,7100,22900
2021-03,3900,7400,22300
2021-04,4100,7700,21600
2021-05,4300,8000,21100
2021-06,4500,8300,20700
2021-07,4700,8600,20200
2021-08,4900,8900,19800
2021-09,5200,9300,19300
2021-10,5400,9600,18900
2021-11,5600,9800,18500
2021-12,5900,10100,18000
2022-01,6200,10500,17400
2022-02,6500,10800,16900
2022-03,6700,11000,16500
2022-04,7000,11300,16100
2022-05,7300,11700,15600
2022-06,7600,12000,15200
2022-07,7900,12200,14900
2022-08,8200,12500,14500
2022-09,8500,12900,14000
2022-10,8800,13200,13600
2022-11,9100,13500,13300
2022-12,9400,13900,12800
""
