""
Date,E-commerce Sales,In-Store Sales,Total Sales
2021-01,20000,10000,30000
2021-02,21000,11000,32000
2021-03,25000,13000,38000
2021-04,26000,14000,40000
2021-05,27000,15000,42000
2021-06,28000,15500,43500
2021-07,29000,16000,45000
2021-08,31000,16500,47500
2021-09,32000,17000,49000
2021-10,33000,18000,51000
2021-11,34000,18500,52500
2021-12,35000,19000,54000
2022-01,36000,19500,55500
2022-02,37000,20000,57000
2022-03,38000,20500,58500
2022-04,39000,21000,60000
2022-05,40000,21500,61500
2022-06,41000,22000,63000
2022-07,42000,22500,64500
2022-08,43000,23000,66000
2022-09,44000,23500,67500
2022-10,45000,24000,69000
2022-11,46000,24500,70500
2022-12,47000,25000,72000
""
