Month,Cardio,Strength Training,Yoga,Cycling,Running
January,25,30,15,20,10
February,20,35,20,15,10
March,22,28,20,18,12
April,24,25,21,20,10
May,28,22,18,20,12
June,30,25,20,15,10
July,32,20,22,16,10
August,30,25,20,15,10
September,25,28,20,17,10
October,26,24,22,18,10
November,28,25,20,17,10
December,30,20,20,20,10
January,22,28,25,15,10
February,20,30,20,20,10
March,18,32,20,20,10
April,24,26,20,20,10
May,25,30,15,20,10
June,28,24,20,18,10
July,30,20,20,20,10
August,32,18,22,18,10
September,28,25,20,17,10
October,26,28,20,16,10
November,28,25,20,17,10
December,30,20,20,20,10
