Month,Pop,Rock,Jazz,Classical,HipHop
January,30,20,15,10,25
February,28,22,18,12,20
March,22,19,20,15,24
April,30,25,10,12,23
May,27,23,17,13,20
June,26,21,14,17,22
July,24,26,19,15,16
August,29,24,16,14,17
September,31,20,18,11,20
October,28,22,15,13,22
November,26,21,16,12,25
December,32,19,14,10,25
January,25,23,18,12,22
February,30,21,20,10,19
March,22,24,17,15,22
April,30,20,15,12,23
May,27,19,17,13,24
June,26,21,19,17,17
July,24,20,18,15,23
August,29,24,16,14,17
September,31,22,14,11,22
October,28,19,20,13,20
November,26,21,17,15,21
December,32,19,16,10,23
